mz,intensity
120.9940109,24.79300308
122.2480087,9.527981758
123.2360077,26.96345901
125.2330093,26.07919884
127.1250076,25.80250168
128.9900055,31.53606224
135.1260071,18.94764328
136.144043,297.7140808
136.8870087,39.76830673
138.0330048,24.74372864
139.1200104,15.75620174
146.1030121,15.66154003
147.1460114,21.28732109
149.0090027,56.50432205
152.0270538,106.5707855
152.5100555,14.2784214
153.5350037,10.6481657
155.1380157,12.88181782
156.1960144,10.23780632
157.1520081,14.45624065
158.9900055,20.14773941
161.1110077,15.85498238
161.931015,9.109045029
162.7490082,8.991426468
166.8190155,23.02820778
171.2410126,16.18471909
172.0490112,25.84168243
174.904007,17.19762993
178.0500031,13.07544041
180.8820038,30.63991547
185.1820068,9.755010605
190.1570129,14.40453053
196.0780029,8.208078384
196.7730103,12.41727543
199.9460144,9.161771774
201.576004,13.4237318
214.3800049,9.713702202
215.2250061,12.39435387
216.0280457,40.94530869
216.9260101,43.28402328
217.9360046,11.54525852
218.8730164,15.90707016
220.9870453,73.73058319
221.3730164,9.531291962
224.9560089,29.73319054
225.8350067,9.696585655
228.9590149,14.66651821
233.0270081,13.11866379
239.0550079,19.30443573
251.2990112,10.09743881
275.3690186,12.41704941
279.1150208,9.426570892
290.32901,32.95688629
291.9410095,13.29720688
295.2430115,87.03993988
296.2480164,9.080618858
299.0140076,22.94443321
304.9779968,15.85238075
306.0509949,14.51943398
311.1280212,11.41429138
312.2409973,50.25643158
320.0639954,9.556260109
329.7550049,15.8739357
331.9370117,6.296050072
334.6370239,9.957468033
353.3120117,7.272171974
354.8460083,16.76384163
362.007019,12.76692772
364.8500061,11.80226898
368.9160461,14.51014328
369.3580017,30.83489609
379.6600037,15.92560863
381.7780151,8.955897331
388.677002,28.39214134
397.7200012,25.82202721
403.3250122,9.834842682
403.8930054,13.67582321
404.631012,29.32748222
405.3110046,8.958650589
414.2990112,10.89167976
415.382019,27.59195518
423.6610107,11.0772028
426.9070129,12.05019093
429.2960205,12.9795208
429.9620056,16.7757225
433.0320129,22.47734451
437.7990112,20.61938667
441.2220154,10.96992493
442.7520447,10.09723091
443.2070007,25.48413086
444.6020203,22.21124649
445.9949951,8.621921539
447.1140137,16.20243263
449.3090515,20.15348816
449.723053,52.78444672
450.1300049,4.021348953
452.0559998,7.333500385
453.059021,11.95840359
456.803009,17.37108803
458.4570313,39.45203781
459.0310059,15.67571545
461.9519958,11.54889297
464.9570007,20.33817673
465.6190491,16.91001511
466.02005,11.34254169
466.460022,14.0582304
467.4949951,14.59513569
469.7810059,17.13960648
470.5800171,22.76564598
472.5140076,12.75859642
474.2400208,26.91312027
475.7420349,13.22692299
476.2870178,37.0874939
477.1240234,37.42199326
477.7270203,53.14606857
478.8090515,33.55112839
480.5710144,47.15470505
481.7969971,31.40146446
483.9320068,11.84040928
486.1760254,75.88418579
486.9349976,16.38414001
487.9890442,45.56803894
488.4730225,16.28844452
490.632019,23.6790123
491.7170105,23.71526337
493.3650208,67.8282547
494.9170532,62.50463104
495.4230347,8.596536636
495.8070068,25.44647408
496.769043,11.54294109
497.1940002,20.62481308
497.8690186,34.27568436
498.7460022,63.38667297
500.4610291,11.44217396
501.0469971,38.07289124
501.6800537,26.75399208
502.5360413,81.10126495
503.2610168,8.342253685
503.8970032,15.74927998
505.2640076,11.42356682
505.95401,11.96647453
506.9800415,26.601717
507.5730286,22.14406967
508.4309998,65.49554443
509.190033,7.301476479
509.7330322,45.39125824
510.1740112,63.95926285
511.0639954,13.21028328
512.348999,9.720247269
513.3400269,54.40005112
513.9990234,28.18238449
514.9900513,135.8189697
515.7910156,42.52110672
516.4030151,66.01455688
517.0859985,26.58410835
517.9440308,13.53368759
518.8240356,60.91101074
519.4920044,15.02016544
520.2870483,16.43110275
520.7890015,40.60995483
521.7590332,17.85609818
522.3180542,29.89456177
522.8460083,48.00340652
523.6920166,11.79000092
524.3859863,46.95659637
524.9280396,13.98092651
525.5200195,39.80770111
526.3690186,42.42681885
527.2210083,26.66363144
528.1870117,36.87984085
529.2520752,55.65938568
530.0700684,44.92004013
531.1959839,28.93700218
532.1170654,34.20213318
532.578064,35.71571732
533.3640137,68.91229248
534.3950195,29.97958374
534.8770142,23.7664814
535.5410156,26.94117928
536.8440552,170.3575592
537.8179932,44.18828583
539.0390015,66.65143585
539.8150024,16.65792084
540.6940308,42.69224167
541.4299927,27.92824173
542.5980225,61.00360107
544.000061,34.35805511
544.8280029,87.56230164
545.7230225,41.74604416
546.5020142,34.24648666
547.5940552,28.26010132
548.1130371,62.135746
548.7559814,53.74757004
549.8890381,53.38934326
550.8980103,99.41487122
551.7300415,120.6194763
552.7490234,81.86592865
553.8980713,89.12776184
554.6300049,28.30918694
555.7130737,105.6424026
556.1860352,14.92072105
556.7630005,40.50799179
557.2900391,20.801054
557.9440308,24.28550529
558.8190308,160.3255157
559.7609863,67.85490417
560.6820068,72.23299408
561.3380127,42.57489395
562.0410156,34.51117706
562.5120239,31.72895241
563.4060669,131.6790009
564.7880249,91.72610474
565.7810059,82.19306946
566.9140015,119.4838409
567.8570557,66.34968567
568.8950195,108.5516357
570.03302,134.1360016
570.992981,54.12520218
572.2510376,27.37506294
573.1590576,84.62598419
573.8140259,36.07326126
574.3880005,85.46856689
574.8300171,49.17961884
575.6110229,142.4649811
576.3469849,112.9660645
577.1890259,16.00638771
578.5780029,62.85196686
579.6810303,120.949234
581.0390015,267.4065552
582.3380127,20.20241165
582.7610474,20.80809402
583.3630371,128.4038544
584.3180542,148.4585724
585.4169922,117.7226639
586.6719971,60.74608612
587.6090698,144.9148407
588.6870117,34.40153503
589.342041,148.8138123
590.0110474,60.32350922
590.7540283,87.19649506
591.6150513,37.55657959
592.5549927,153.1998138
593.6270142,80.40977478
594.15802,60.04960251
595.5450439,224.5955963
596.9110107,128.4547882
597.6070557,25.09028244
598.2410278,85.37308502
598.7900391,73.36764526
599.6260376,252.995697
600.7360229,99.77731323
601.3619995,119.9516602
602.1300049,189.169754
602.9540405,85.16770935
603.4430542,18.47694016
603.9020386,41.98122025
604.3210449,121.5469131
604.9640503,45.60274506
605.6020508,112.2763519
606.4120483,177.0564728
607.0790405,27.66225815
607.5880127,86.74954987
608.3070068,99.69522095
608.9390259,73.31180573
609.8230591,53.35489273
610.3740234,38.82875061
611.4780273,86.70919037
611.9840088,31.66155243
612.7790527,175.4718018
613.5790405,54.76467133
614.1490479,50.15632629
614.5990601,32.46942902
615.2630005,145.9898529
616.2180176,164.7388916
616.9890137,97.65602875
617.8860474,137.9232178
618.559021,56.27174377
619.0800171,66.22554779
620.3540039,277.2186584
621.3120117,79.60202026
622.2299805,107.1180191
623.5560303,53.5
624.6030273,194.0477295
625.2930298,100.8533249
626.0980225,141.0456085
626.8240356,223.4147339
627.4800415,66.33338165
627.9540405,18.64873314
628.6090698,95.43826294
629.2520142,77.32386017
629.8930054,91.14559937
630.9370117,105.5183029
631.5620117,79.38114166
632.5960083,85.00762177
633.5120239,147.6261292
634.4150391,85.81448364
634.9330444,68.74887848
635.6950073,61.61597443
636.4800415,86.99990082
637.3600464,92.09331512
638.0860596,51.87665558
638.5780029,24.77217484
639.078064,54.06267548
639.6650391,66.44080353
640.625,117.7735519
641.3920288,94.36732483
642.0530396,36.53894043
642.7140503,123.2857971
643.710022,119.7548294
644.3980103,136.2578125
645.1340332,80.98059845
645.8610229,53.73326874
646.3810425,36.90610886
646.8970337,101.8312378
647.3920288,95.95031738
648.1210327,90.11844635
648.6350098,20.2192688
649.401001,115.1691284
650.1460571,34.1660881
650.8190308,61.23995972
651.6740112,89.23524475
652.4140015,60.74279785
652.9830322,17.27893829
653.8220215,120.3471603
654.6100464,80.37171936
655.809021,178.4728851
656.8180542,36.07482147
657.4460449,63.31505966
658.0480347,46.04251862
658.6220703,79.01145935
659.1010132,33.5457077
659.6530151,94.88575745
660.3250122,133.3528442
661.2780151,100.2271957
661.8700562,125.5566254
662.585022,197.3371735
663.3330078,31.85873413
664.0140381,45.84316254
664.7349854,43.47728729
665.8730469,35.63404846
666.4950562,87.16946411
667.1450195,82.77877808
667.8930664,53.13818359
668.6760254,65.91773987
669.0990601,52.90765381
669.7190552,126.4439926
670.4070435,52.15363312
671.1090088,30.26500893
671.8700562,15.67088699
672.5620117,83.24468231
673.1879883,55.49748993
674.2880249,114.7187653
675.0040283,14.23707294
675.6000366,57.90759277
676.1080322,45.28165817
676.9210205,85.17235565
677.7460327,68.09059143
678.3900146,98.50268555
678.9660034,102.7610931
679.6119995,107.0907898
680.3210449,167.3327484
680.9810791,111.2658615
681.5170288,11.41407013
682.0900269,37.76620483
682.6410522,59.18252563
683.3560181,39.22447968
683.7390137,36.81827545
684.2110596,38.29257584
684.9120483,58.73173141
685.4050293,8.730208397
685.894043,23.5063858
686.2640381,4.058622837
686.8060303,36.7449646
687.8480225,36.06842804
688.5480347,211.0223999
689.4210205,19.93434715
690.0189819,17.78166962
691.1279907,16.02762413
693.7650146,14.87178421
694.8410034,22.19098282
695.5410156,27.74790382
696.2670288,10.4291954
696.7750244,25.88966751
697.5100098,207.8891602
698.3600464,564.0231934
699.2310181,36.68658447
699.7610474,36.1578064
700.4210205,74.32550812
701.0980225,87.11470795
701.6380005,7.526560783
702.8500366,21.5258503
704.5530396,15.56421852
706.7900391,51.02169037
708.0620117,45.5952301
708.6600342,15.35395145
711.5870361,12.86374283
713.4849854,13.18543053
714.2900391,17.99272156
715.5200195,84.7279129
716.3500366,236.276001
717.1060181,33.93959808
719.5120239,17.59332848
720.1229858,7.785085678
720.9509888,16.75932884
721.6350098,36.35964966
722.5140381,12.70392227
724.6610107,30.31258392
725.4610596,10.46783829
726.5839844,22.63549995
727.8300171,30.36924171
731.4730225,11.53274727
733.6550293,86.7195282
734.1420288,8.815471649
734.6690063,23.21504974
735.992981,32.81984711
736.4860229,9.999770164
740.5910034,11.39988041
741.5440063,17.99537086
746.5029907,28.33691025
748.7640381,19.02982712
750.1450195,66.7645874
750.7390137,3.974190474
751.3389893,20.33189011
754.40802,13.45064926
755.5239868,10.13714123
757.1710205,38.01119614
758.1459961,8.257135391
766.3140259,18.03577805
768.0170288,21.44429016
780.3450317,18.22387505
780.7680054,19.21475983
781.4819946,16.43042374
786.7390137,11.48568153
791.5059814,18.12364197
798.6780396,9.82440567
802.6229858,12.95401287
806.8850098,14.81687355
810.0109863,13.10501289
810.7789917,8.446291924
811.46698,10.33306026
815.427002,14.61573124
818.7180176,11.51265907
820.9949951,19.42695999
821.960022,23.38625526
822.3980103,19.65466309
825.7089844,23.1325016
827.2250366,21.98436165
828.59198,26.01176834
829.5319824,9.930461884
830.1710205,15.15307713
831.4360352,39.17045975
835.0549927,30.90367889
836.6830444,12.35137558
837.2070313,22.20963097
842.7410278,12.61639214
843.2960815,24.20405388
844.1140137,36.21799469
845.5220337,14.15988827
846.1749878,16.13126373
849.0109863,16.39522171
851.4830322,12.38249588
855.3959961,15.93003559
859.2880249,10.57699776
865.7009888,10.5797348
866.2180176,10.13635635
872.5159912,28.57681084
878.5870361,14.06009865
880.2219849,36.13041306
883.2520142,14.68635845
883.8770142,17.76244736
885.8599854,12.50451565
894.2750244,13.58294868
896.7089844,12.56093979
897.90802,19.3931179
904.0430298,11.42623901
904.4130249,30.11441231
907.1359863,23.84183884
909.5679932,14.11793709
911.9730225,12.61886406
918.3040161,9.315418243
927.6610107,26.33392334
931.5549927,12.96933937
935.5209961,24.04468155
936.4210205,38.12236404
938.4539795,10.58755875
941.4459839,9.728919983
945.5469971,10.45565414
948.684021,14.7786293
953.5170288,23.81994247
958.4920044,33.85430527
958.9730225,17.34051514
963.3800049,28.59473228
972.8500366,7.364448071
977.7700195,19.45315361
980.4199829,47.68691254
981.8859863,12.91677284
983.5220337,31.83285713
985.8890381,12.01923847
986.5020142,17.44318008
988.2260132,20.22276115
988.6229858,15.80255413
992.1400146,13.67862511
1004.111023,13.61560726
1006.515015,22.8904953
1012.268005,10.29354668
1012.88501,20.87049103
1022.421021,13.32511902
1026.916016,11.04467773
1030.890991,12.95736504
1031.274048,22.22343445
1032.958984,17.50739288
1035.115967,13.44760227
1035.879028,11.62234116
1043.107056,15.83579159
1045.790039,14.19836807
1047.260986,10.80960178
1049.419067,23.43579865
1053.192993,18.245924
1055.411011,12.41250801
1056.928955,15.99056911
1058.098999,37.18310165
1066.131958,14.58567905
1067.311035,10.2248106
1071.993042,8.421945572
1073.801025,13.90305424
1082.114014,14.09739685
1083.141968,14.56690979
1087.852051,12.60323429
1088.296997,20.01791
1092.807983,17.05644989
1095.427979,11.59521484
1097.258057,15.12868309
1106.229004,9.707003593
1107.896973,10.4540596
1116.998047,18.35307312
1117.899048,14.14932156
1125.036987,11.69468212
1126.192017,17.49067879
1127.130981,12.87681007
1132.107056,27.48444557
1134.099976,19.61247826
1139.217041,9.4133358
1144.801025,14.98470688
1147.926025,8.724376678
1158.755981,8.190108299
1164.44397,20.08535004
1165.161987,15.23487854
1167.468018,7.853109837
1173.430054,13.84034061
1175.748047,13.78222084
1181.484985,12.11170673
1192.370972,22.49592209
1209.062012,9.852198601
1216.847046,12.60511875
1234.050049,13.74878979
1243.964966,19.8850956
1259.511963,9.090498924
1264.539063,17.01314163
1273.410034,15.40480423
1281.294067,11.2314539
1300.217041,12.00837326
1301.321045,8.557924271
1319.427002,17.29618835
1320.652954,11.52103424
1330.654053,22.17795753
1336.602051,12.52637959
