mz,intensity
406.8241961,804.5859985
406.8252971,0
406.8263981,1239.364502
406.8274991,2411.394775
406.8286001,3062.648193
406.8297012,2681.978027
406.8308022,1571.185791
406.8319036,0
406.8330046,0
406.8341057,0
406.8352067,0
407.3598128,0
407.3609159,0
407.3620191,0
407.3631223,0
407.3642255,1521.879639
407.3653287,2607.066406
407.3664319,3165.580078
407.3675351,2841.866699
407.3686383,1860.892578
407.3697416,865.375
407.3708448,0
407.371948,0
407.3730513,0
407.3741545,0
407.3774642,0
407.3785675,0
407.3796707,0
407.380774,0
407.3818773,1551.24939
407.3829805,2536.425293
407.3840838,2723.056396
407.3851871,1950.012085
407.3862904,787.4701538
407.3873944,0
407.3884977,0
407.389601,0
407.3907043,0
408.376638,0
408.3777453,0
408.3788526,0
408.3799599,0
408.3810673,1344.0802
408.3821746,2307.805908
408.3832819,2643.865479
408.3843893,2052.242188
408.3854966,954.9459229
408.386604,0
408.3877114,0
408.3888187,0
408.3899261,0
408.4386546,0
408.4397621,0
408.4408697,0
408.4419773,0
408.4430849,1407.866943
408.4441924,2216.53833
408.4453,2420.148682
408.4464076,1847.916382
408.4475152,878.8441772
408.4486231,0
408.4497307,0
408.4508383,0
408.4519459,0
408.8132691,0
408.8143782,0
408.8154873,0
408.8165964,0
408.8177055,1413.833618
408.8188146,2537.90625
408.8199237,3136.635254
408.8210329,2783.945801
408.822142,1700.964966
408.8232513,0
408.8243605,0
408.8254696,0
408.8265787,0
409.1028953,0
409.1040055,0
409.1051158,0
409.1062261,0
409.1073364,561.5249023
409.1084467,6772.464355
409.109557,23659.70898
409.1106673,43169.39063
409.1117776,60849.97656
409.1128879,54007.93359
409.1139982,34145.61328
409.1151085,15958.19043
409.1162188,5432.963379
409.1173291,1440.185303
409.1184395,21.82739449
409.1195499,0
409.1206603,0
409.1217706,0
409.122881,0
409.3105945,0
409.3117056,0
409.3128167,0
409.3139278,0
409.315039,1245.948486
409.3161501,2247.702393
409.3172612,2451.960205
409.3183724,1760.018311
409.3194835,760.2636719
409.3205948,0
409.3217059,0
409.3228171,0
409.3239282,0
409.4228401,0
409.4239516,0
409.4250632,0
409.4261748,0
409.4272864,972.229126
409.428398,1862.353638
409.4295096,2364.216797
409.4306212,2192.39917
409.4317328,1449.613525
409.4328446,0
409.4339562,0
409.4350679,0
409.4361795,0
409.7899051,0
409.7910182,0
409.7921312,0
409.7932443,0
409.7943574,921.4030762
409.7954705,2135.287598
409.7965836,2620.458984
409.7976967,1955.907349
409.7988098,756.729248
409.799923,0
409.8010361,0
409.8021492,0
409.8032623,0
409.9001209,0
409.9012344,0
409.9023479,0
409.9034614,0
409.904575,1152.323853
409.9056885,1995.626953
409.906802,2399.579834
409.9079156,2127.027832
409.9090291,1365.467773
409.9101428,0
409.9112564,0
409.91237,0
409.9134835,0
410.1028558,0
410.1039702,0
410.1050845,0
410.1061989,0
410.1073132,736.2991333
410.1084276,1279.037598
410.1095419,2240.555664
410.1106563,3129.686279
410.1117707,3771.350342
410.1128851,4373.609375
410.1139995,8271.265625
410.1151138,8936.644531
410.1162282,7210.878906
410.1173426,4193.302734
410.118457,1648.735474
410.1195714,728.4765625
410.120686,0
410.1218004,0
410.1229148,0
410.1240293,0
410.3235845,0
410.3246997,0
410.325815,0
410.3269302,0
410.3280455,931.836792
410.3291607,1750.851929
410.330276,2368.091553
410.3313913,2354.616943
410.3325065,1649.498413
410.3336219,0
410.3347371,0
